n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
185,0.1701970846063455,0.018397476161821306,0.13973578143360726,0.2006687132784964,6.912748108108108,0.02131861934282921,rutledge,aristoteles,sequential
190,0.16997592369813422,0.01809549361393414,0.13789514062935126,0.19753908382066332,6.911838947368421,0.021214557399088025,rutledge,aristoteles,sequential
195,0.16853326143272535,0.016977051044401274,0.13902088289717163,0.194885540576262,6.913008205128205,0.020831424578064275,rutledge,aristoteles,sequential
200,0.17126152211055273,0.01643173736706147,0.14412280150753817,0.19768427135678376,6.910339,0.018139698904687092,rutledge,aristoteles,sequential
205,0.16974769201339074,0.01539694937707468,0.1456262792922051,0.19413055954088934,6.91133268292683,0.018341032449051112,rutledge,aristoteles,sequential
210,0.17040656185919342,0.01605096283778767,0.1436325928457508,0.19831228070175436,6.910758095238095,0.019093379139175866,rutledge,aristoteles,sequential
215,0.16962376874592477,0.015905851276462664,0.14170449902195192,0.19486752879808766,6.911081860465116,0.018212246400277843,rutledge,aristoteles,sequential
220,0.1697402764632628,0.014364033617822979,0.14628772312162747,0.192358125778331,6.911607272727273,0.017921602479674448,rutledge,aristoteles,sequential
225,0.16935300873015868,0.01466526531541203,0.14590140873015864,0.1942651785714285,6.911784,0.016895812454210082,rutledge,aristoteles,sequential
230,0.17030930472754893,0.013564110280904873,0.14696225555344625,0.19225768938674734,6.911281739130435,0.017193444577666545,rutledge,aristoteles,sequential
235,0.16982229569012552,0.013220781176692167,0.1468945080923804,0.19164811783960742,6.911620425531915,0.015872921784114993,rutledge,aristoteles,sequential
240,0.16966838145048813,0.013152563192391763,0.14795631101813106,0.189805578800557,6.911506666666667,0.01609404022319616,rutledge,aristoteles,sequential
245,0.1704235416527267,0.013230049188074008,0.14768016058882596,0.18978619939779207,6.911579591836735,0.014924802266217407,rutledge,aristoteles,sequential
250,0.16965001445783134,0.01293742530727256,0.14609481124498017,0.18844824899598395,6.912304,0.014538911372168669,rutledge,aristoteles,sequential
255,0.1704193725490196,0.01205804373752216,0.14975308012968916,0.18878340280994238,6.91141568627451,0.014837761971969916,rutledge,aristoteles,sequential
260,0.16913265043065043,0.012218180151617923,0.14763709533709554,0.18751746361746374,6.911121538461538,0.014151465691470673,rutledge,aristoteles,sequential
265,0.16962026415094345,0.011463718458393115,0.15115548885077149,0.18685375929102388,6.911495094339623,0.013602437589127554,rutledge,aristoteles,sequential
270,0.17050817651108355,0.010655077972206295,0.15073671347927892,0.18721836706595038,6.91199037037037,0.012700246930877094,rutledge,aristoteles,sequential
275,0.17001931572660914,0.010069792289481915,0.15206788321167883,0.1867132183145318,6.911233454545455,0.012121493300922838,rutledge,aristoteles,sequential
280,0.17028702278545824,0.010404789908447452,0.1520856566820273,0.18600806451612986,6.9116221428571425,0.012035807817051807,rutledge,aristoteles,sequential
285,0.16964154188287628,0.010274713724958974,0.15240373115888337,0.18552029898690425,6.910887719298246,0.011733291105765353,rutledge,aristoteles,sequential
290,0.16941712373225148,0.009292677460737187,0.15220629996420518,0.18276926977687585,6.91194275862069,0.011588725844260678,rutledge,aristoteles,sequential
295,0.17003259494984438,0.00937930676979367,0.15326816557131331,0.1836464545140098,6.911501016949153,0.011173530257110733,rutledge,aristoteles,sequential
300,0.1696087634336678,0.009116403088207457,0.15357980490523981,0.18299845596432474,6.911777333333333,0.010157092615218275,rutledge,aristoteles,sequential
305,0.16976171138912857,0.008522770543444273,0.15441473252804172,0.18269747627264865,6.912301639344262,0.009625871542580232,rutledge,aristoteles,sequential
310,0.16984675936945406,0.007757138213193341,0.15620845077774317,0.1811505428541593,6.911713548387096,0.009303273703115098,rutledge,aristoteles,sequential
315,0.1693867807097361,0.0073247969293843175,0.15554844808411655,0.17968557274289684,6.911573968253968,0.008703622325405237,rutledge,aristoteles,sequential
320,0.16953597296238246,0.006904263611985544,0.1566463802899682,0.17980930152821306,6.911775,0.007995572931191124,rutledge,aristoteles,sequential
325,0.16960487445394115,0.006622373432723208,0.15812673314339948,0.178426638176638,6.911566769230769,0.007965332243262051,rutledge,aristoteles,sequential
330,0.16953953928341167,0.006139762259448909,0.15822563783733945,0.17826334622823947,6.9118078787878785,0.007146667941985596,rutledge,aristoteles,sequential
